,Without Extension,,,,,,,,With Extension,,,,,,
,Many small Images,,,,Few Large Images,,,,Many small Images,,,,Few Large Images,,
,Number of Requests,69,,,Number of Requests,9,,,Number of Requests,69,,,Number of Requests,9,
,Total Transfered (MB),23.1,,,Total Transfered (MB),23.1,,,Total Transfered (MB),0.0209,,,Total Transfered (MB),0.0175,
,Resources (MB),23.1,,,Resources (MB),23.1,,,Resources (MB),0.0617,,,Resources (MB),0.0236,
nth try,finished time (ms),DOM content loaded (ms),load (ms),,finished time (ms),DOM content loaded (ms),load (ms),,finished time (ms),DOM content loaded (ms),load (ms),,finished time (ms),DOM content loaded (ms),load (ms)
1,110136,1259,109826,,124294,1685,123979,,669,660,661,,1674,1671,1671
2,104511,1659,104201,,123975,2098,123658,,1619,1611,1611,,949,941,941
3,113691,1661,113383,,129132,1582,128814,,1540,1533,1533,,1577,1572,1572
4,112757,1640,112448,,142090,969,141775,,979,973,974,,997,987,987
5,115975,1978,115667,,131866,2108,131556,,960,952,953,,944,939,939
6,109874,1952,109558,,127008,1643,126691,,953,943,943,,962,955,955
7,108375,3055,108066,,138417,952,138107,,945,940,940,,939,934,934
8,108214,1274,107904,,126779,1508,126466,,679,672,672,,1338,1333,1333
9,113303,1247,112996,,136865,1356,136544,,657,652,652,,944,939,939
10,105396,1652,105084,,134369,1674,134047,,676,671,671,,957,949,949
11,114431,1671,114118,,121323,1664,121010,,1514,1508,1509,,952,943,943
12,116060,965,115747,,122425,968,122114,,951,942,942,,950,944,944
13,112361,1259,112050,,121608,1706,121290,,672,662,662,,942,936,937
14,112639,1494,112329,,135246,970,134932,,679,674,674,,940,935,935
15,110152,966,109845,,125404,1645,125085,,667,659,659,,1343,1334,1335
16,108202,1283,107895,,126696,2091,126382,,658,650,651,,956,952,952
17,111693,3401,111385,,134872,953,134557,,654,650,650,,971,961,961
18,109349,1957,109038,,129619,956,129308,,666,658,659,,1339,1331,1331
